last_price,volume,ticker,amount,vol_per_trade,exchange_percent,pe_ratio,liquid_asset,total_asset,pb_ratio
4.849999905,151959,600881,7356.448242,,0.802008748,13.47222137,91.89450073,91.89450073,1.127906919
10.02000046,13720,600882,1372.889282,,0.641961455,-12.21951294,21.4153862,40.00365067,-18.90566254
6.360000134,21150,600883,1331.96106,,0.895882726,-254.4000092,15.0151968,15.0151968,2.218114614
10.42000008,23540,600884,2438.056885,,0.572958529,23.68181801,42.81142426,42.81142426,1.38988924
10.43000031,6868,600885,703.4691772,,0.44672823,-24.59905815,16.03546906,16.03546906,-8.720736504
4.369999886,112622,600886,4952.973145,,0.534528732,404.6296082,92.07350159,153.7214966,1.340490818
21.44000053,76620,600887,16417.7207,,0.482694328,22.33333397,340.3260193,342.7496033,5.37343359
9.899999619,88854,600888,8734.102539,,1.699416637,31.36882019,51.76245499,52.90112305,1.462852359
4.789999962,89109,600889,4215.020996,,2.902006149,-24.19191933,14.70861435,14.70861435,1.691981554
4.670000076,165473,600890,7609.347168,,2.856972694,-142.3780518,27.04840279,27.04840279,8.444847107
7.460000038,48811,600891,3610.591309,,1.954316139,37.29999924,18.63282013,24.28445625,3.161017179
11.21000004,1312,600892,146.4734955,,0.260317475,80.07142639,5.650523663,7.076312542,-20.15461922
11.81999969,73824,600893,8711.678711,,0.6812343,65.66666412,128.0914307,128.7875519,3.20351243
5.96999979,17222,600894,1026.565186,,0.225891918,18.14589691,45.51585007,47.07453918,2.584415674
6.800000191,38750,600895,2630.378418,,0.250213087,70.83333588,105.3108902,105.3108902,1.761658072
4.010000229,41139,600896,1640.241699,,0.707694709,-9.54761982,23.3107605,23.3107605,1.169096231
12.68999958,7688,600897,972.9130249,,0.258151174,10.87030983,37.79208755,37.79208755,1.862943649
5.139999866,35851,600898,1836.397583,,1.768236756,62.83618546,10.42177105,12.97972298,4.700072765
6.46999979,186192,600900,12106.67285,,0.25283879,18.75362206,476.4552917,1067.549927,1.602992892
10.15999985,17544,600960,1779.908447,,1.077508926,29.06178474,16.54286766,16.54286766,1.823729992
8.840000153,49401,600961,4349.193359,,1.912395477,-6.5,22.83615112,46.62727737,4.384485722
8.180000305,28308,600962,2298.526855,,1.114400387,20.04902077,20.7788372,21.44877815,1.603292823
3.619999886,53335,600963,1917.162354,,0.632568359,120.6666641,30.52235794,30.52235794,0.672749877
5.389999866,20557,600965,1098.722656,,0.735755205,116.6666641,15.05983257,15.05983257,3.054516554
4.590000153,15364,600966,701.8569946,,0.304496884,30.51861763,23.16011238,23.16011238,0.744549692
17.28000069,27454,600967,4704.797852,,1.58482945,16.77670097,29.93414497,29.93414497,2.790247202
10.44999981,19284,600969,1998.447998,,2.087013006,20.73412704,9.655799866,21.97297478,2.130478859
9.979999542,169045,600970,16715.44922,,1.546204567,11.6046505,109.1110535,109.1110535,2.539440155
13.90999985,87188,600971,12098.99023,,2.045898199,13.12264252,59.28006363,139.1005554,2.001438856
7.630000114,34251,600973,2568.833496,,1.13718915,27.25,22.98090363,23.25100708,1.271454811
6.650000095,29476,600975,1949.702393,,1.257723212,36.94444275,15.58494663,15.58494663,2.194719553
18.62999916,16963,600976,3125.795898,,1.107606888,35.82692337,28.53230858,28.57815742,3.423436642
4.519999981,48548,600978,2198.123535,,0.426983297,14.125,51.3925209,52.10035324,1.22759378
4.059999943,54649,600979,2218.121582,,0.92173928,42.64705658,24.07141876,24.07141876,2.531961203
12.44999981,12073,600980,1495.332397,,0.928692281,-57.69230652,16.18499947,16.18499947,6.50300312
4.239999771,8626,600981,364.8821106,,0.167138144,47.32142639,21.88291359,21.88291359,2.436781406
10.38000011,22445,600982,2349.617188,,1.336011887,20.92741966,17.43840027,17.43840027,2.337837934
6.789999962,24161,600983,1618.73584,,1.228317261,11.3166666,13.35595703,36.17712021,2.507385492
6.139999866,28907,600984,1759.479614,,2.042176008,-177.4566345,8.691537857,8.691537857,3.099444628
11.61999989,6404,600985,742.5681763,,0.494135797,41.5,15.05951977,15.05951977,3.336300373
5.25,23687,600986,1237.117676,,0.706526279,23.6273613,17.60165977,17.60165977,2.5
6.429999828,25625,600987,1635.417969,,0.605019569,11.81985188,27.2336216,27.2336216,1.678851128
20.32999992,9333,600988,1888.47644,,0.936766028,3630.357178,20.25636482,20.25636482,-53.48592377
15.76000023,10331,600990,1614.822998,,0.878486395,97.52475739,18.53376007,18.53376007,4.173176289
6.630000114,7159,600992,473.5492859,,0.435541779,74.49438477,10.89773083,10.89773083,1.274754882
16.35000038,13285,600993,2175.041016,,0.40156576,24.04411888,54.09108353,54.21331406,4.407008171
5.820000172,71283,600995,4097.352539,,1.489655614,13.8571434,27.85023689,27.85023689,2.30039525
9.970000267,45486,600997,4522.125,,0.368415087,14.24285793,123.0936127,123.0936127,1.799639106
12.97999954,9157,600998,1186.883179,,0.177018687,62.10525894,64.48731232,184.3829498,4.28057909
10.63000011,242862,600999,25897.63281,,0.973679662,26.11793518,265.1412659,495.4749146,1.977012396
3.329999924,40698,601000,1348.810547,,0.391195267,5.441176414,34.64370346,67.61070251,0.76912415
9.710000038,50341,601001,4870.957031,,0.30077672,23.11904907,162.5162659,162.5162659,1.498456836
9.970000267,107218,601002,10679.1875,,1.451893806,-49.85000229,73.62545776,73.62545776,4.53181839
2.559999943,15317,601003,389.6716003,,0.059766896,1828.571411,65.6075058,65.6075058,1.241874456
2.279999971,35671,601005,805.9671021,,0.298502088,-3.048128128,27.24600029,39.51530075,1.151515126
6.119999886,314484,601006,19299.25586,,0.211534575,7.463414669,909.8475952,909.8475952,1.44200182
6.960000038,7176,601007,496.2349854,,0.239199996,38.66666412,20.88000107,20.88000107,1.70379436
3.299999952,47732,601008,1575.921265,,0.630883276,15,24.96777725,26.78395844,1.079489708
7.659999847,122302,601009,9348.338867,,0.411939651,5.175675392,227.4202728,227.4202728,0.983311951
14.09000015,13615,601010,1894.637207,,1.108713388,15.31521702,17.30252075,69.43552399,2.08864522
11.89999962,25365,601011,3012.119141,,2.035714388,22.90223312,14.82818508,46.05299759,1.630583644
6.650000095,34416,601012,2271.446289,,2.549333334,47.5,8.977499962,35.81184769,1.206896544
2.49000001,194662,601018,4817.337402,,0.63201946,10.375,76.69200134,318.7200012,1.232673287
9.109999657,56122,601028,5067.697266,,7.059370995,25.30555344,7.24244976,28.92424965,1.542316318
7.400000095,167126,601038,12269.27637,,11.14173317,10.92734814,11.10000038,73.69660187,1.737089157
7.579999924,10499,601058,793.9379272,,0.536703825,25.26666451,14.82802582,28.65239906,1.540650368
22.98999977,132575,601088,30652.32617,,0.081279352,9.079778671,3749.907471,4572.623535,1.97678411
10.10000038,38782,601098,3861.798096,,0.974422097,21.04166794,40.19800186,181.3960114,2.284241199
5.960000038,342584,601099,20322.39063,,2.071696281,69.30232239,98.55722046,98.55722046,4.110344887
10.93000031,23819,601100,2593.959961,,1.512317419,21.0192318,17.21475029,68.85900116,2.154161453
12.88000011,0,601101,0,,0,11.5,54.84577179,154.5597687,2.275618553
2.839999914,166149,601106,4707.789551,,0.725541472,156.0439453,65.03599548,185.6791992,1.109375
3.069999933,51738,601107,1583.195923,,0.239224315,7.254252911,66.39611816,93.88243866,0.9662292
4.96999979,0,601111,0,,0,27.61110878,407.526947,640.7301025,1.301047087
4.119999886,27614,601113,1127.263428,,0.908355236,51.5,12.52479935,26.36800003,1.569523811
11.09000015,63450,601116,7094.134277,,10.57499981,19.63526917,6.654000282,45.55315018,3.164954424
6.900000095,289123,601117,20060.89648,,1.890928745,12.77777767,105.5009995,340.3770142,2.084592104
6.119999886,244704,601118,14873.22266,,2.484304667,76.5,60.28199768,240.5876923,2.696035147
17.76000023,8809,601126,1551.979248,,0.581452131,51.12262344,26.9080162,72.21820068,2.676069021
14.26000023,3356,601137,477.1054077,,0.35326317,28.52000046,13.54699993,30.6590004,1.649165034
8.630000114,25956,601139,2226.436279,,0.303578943,23.97222137,73.78649902,170.9128418,4.25123167
5.340000153,35930,601158,1914.677246,,0.718599975,14.83333302,26.70000076,256.3200073,2.243697405
12.11999989,367828,601166,44588.8125,,0.3410106,3.811320543,1307.312988,1307.312988,1.007481337
8.140000343,179405,601168,14550.6543,,0.752853572,67.83333588,193.9762115,193.9762115,1.699373722
6.949999809,161733,601169,11213.97461,,0.216421098,4.398734093,519.3786621,611.611084,0.755434752
10.07999992,25085,601177,2493.768066,,1.177367926,32.04068756,21.47644806,40.32604599,2.372993231
3.25,105411,601179,3410.826416,,0.718548059,-40.625,47.67750168,141.6024933,1.028481007
4.670000076,157911,601186,7355.540039,,0.157654971,8.980770111,467.758667,576.163208,0.866419315
